"file","lhs","op","rhs","beta","se","z","pval","level","sub_membership"
"ts1","V1","~","V1lag",0.457729500711204,0.14989237660425,3.05372101691144,0.00226022162861961,"group",1
"ts1","V2","~","V2lag",0.63217933815667,0.0857601695276812,7.37147957657218,1.68753899743024e-13,"group",1
"ts1","V3","~","V3lag",0.877664091765534,0.0561361537805038,15.6345604865852,0,"group",1
"ts1","V3","~","V2",0.39673402832025,0.0871533101394992,4.55213953073303,5.31030962425127e-06,"group",1
"ts1","V3","~","V2lag",-0.306338360142014,0.0849396759028979,-3.60654025207509,0.000310306742007604,"ind",1
"ts1","V3","~","V1",0.207092315530415,0.130104433352282,1.59173911445181,0.111443335700916,"ind",1
"ts1","V1","~","V3lag",0.663238626063759,0.574651542458236,1.15415791494541,0.248435433014974,"ind",1
"ts1","V1","~","V3",-0.633614885746308,0.706033417195712,-0.897429031423127,0.369490026950023,"ind",1
"ts1","V3","~","V1lag",-0.059984776387836,0.0831234337297774,-0.721634967376806,0.470518934743059,"ind",1
"ts1","V1","~","V2",0.0809299602730122,0.220260981574705,0.367427583834513,0.713300099362303,"ind",1
"ts2","V1","~","V1lag",0.475159528495753,0.121156493798319,3.9218659569888,8.7865871103654e-05,"group",2
"ts2","V2","~","V2lag",0.615059274827406,0.0888070110149061,6.92579637348868,4.33519886655631e-12,"group",2
"ts2","V3","~","V3lag",0.648828776375023,0.102774062860054,6.31315682497174,2.73400191375117e-10,"group",2
"ts2","V3","~","V2",0.33667814567949,0.11102085764489,3.03256660794662,0.00242483576421626,"group",2
"ts2","V1","~","V3lag",-0.407925396761143,0.143985293006614,-2.83310460563778,0.00460982980093783,"ind",2
"ts2","V3","~","V1",0.0409852607577684,0.0980662562976501,0.417934387475445,0.675995089678974,"ind",2
"ts2","V3","~","V2lag",0.0542901663790848,0.115102068095553,0.471669773422448,0.637162515406772,"ind",2
"ts2","V1","~","V2lag",0.100166983979614,0.16459905644969,0.608551386260406,0.542821835607302,"ind",2
"ts2","V1","~","V2",-0.0935964672842796,0.16214593893557,-0.57723596347036,0.563780065674986,"ind",2
"ts2","V3","~","V1lag",0.0201989212727582,0.107912808094463,0.187178163829049,0.85152094499633,"ind",2
"ts3","V1","~","V1lag",0.166690203011309,0.166039374720966,1.00391972260457,0.315417309309042,"group",3
"ts3","V2","~","V2lag",0.759926603159459,0.0602962260552259,12.6032200168454,0,"group",3
"ts3","V3","~","V3lag",0.457536441338554,0.11200043333815,4.08513099192365,4.4051957589053e-05,"group",3
"ts3","V3","~","V2",0.146089046110154,0.149340235192608,0.978229650714957,0.327960754711201,"group",3
"ts3","V3","~","V1lag",0.34111203716126,0.110697185408097,3.08148789785138,0.00205968849218285,"ind",3
"ts3","V1","~","V3",0.396828998410714,0.189850446253715,2.09021893938766,0.0365981369769837,"ind",3
"ts3","V1","~","V3lag",0.0886594835634151,0.181688985422457,0.487973904181737,0.625568325304376,"ind",3
"ts3","V3","~","V2lag",0.0506595682426621,0.143394851880205,0.353287217626083,0.723873127349195,"ind",3
"ts3","V1","~","V2",-0.0936736932221229,0.19998943555327,-0.46839320768607,0.639503424464371,"ind",3
"ts3","V1","~","V2lag",0.0763905603783534,0.19545284910901,0.390838817272743,0.695916380511239,"ind",3
"ts4","V1","~","V1lag",0.763887498645558,0.0659282818759574,11.5866434997168,0,"group",4
"ts4","V2","~","V2lag",0.620854047921302,0.0877904040090554,7.07200353990012,1.52722279267437e-12,"group",4
"ts4","V3","~","V3lag",0.647398736527654,0.0827066605840813,7.8276493326616,4.88498130835069e-15,"group",4
"ts4","V3","~","V2",0.248797930553427,0.0919542610902925,2.70567048882189,0.00681666475818132,"group",4
"ts4","V3","~","V2lag",0.136070705076204,0.105161589382281,1.29392020295131,0.195692985310151,"ind",4
"ts4","V1","~","V2",-0.232422970629527,0.128770779292852,-1.8049356531496,0.0710847518468072,"ind",4
"ts4","V1","~","V2lag",0.322886638819685,0.128526342476175,2.51222148393073,0.0119973765072987,"ind",4
"ts4","V1","~","V3lag",-0.0382168227641936,0.185944331119451,-0.205528302659806,0.837159387735002,"ind",4
"ts4","V1","~","V3",-0.194935795396776,0.243229967491012,-0.801446455827773,0.422873230084421,"ind",4
"ts4","V3","~","V1",0.0660367619224255,0.110858379542963,0.595685794747098,0.551385149700269,"ind",4
"ts5","V1","~","V1lag",0.712044142166286,0.215428374341985,3.30524771558616,0.000948924905288528,"group",5
"ts5","V2","~","V2lag",0.613568656770393,0.0890614521880382,6.88927298731832,5.60773649738167e-12,"group",5
"ts5","V3","~","V3lag",0.636321895172325,0.137394153266477,4.63136079697784,3.63270199699173e-06,"group",5
"ts5","V3","~","V2",0.4235521887785,0.127636135687356,3.31843475593768,0.000905234674615008,"group",5
"ts5","V3","~","V1",0.38321090413142,0.24048702097422,1.59347852777677,0.111052881539408,"ind",5
"ts5","V1","~","V3",-0.488527478568759,0.532450284971372,-0.917508154953894,0.358876421581498,"ind",5
"ts5","V1","~","V2lag",0.384851550655829,0.214800488404872,1.7916698118974,0.0731858729753283,"ind",5
"ts5","V3","~","V2lag",-0.100459289140459,0.14990514462681,-0.670152377962432,0.502760658117919,"ind",5
"ts5","V1","~","V3lag",-0.128911603823058,0.331298391172153,-0.389110262102275,0.69719458246784,"ind",5
"ts5","V3","~","V1lag",-0.000297023802118932,0.162732290579308,-0.00182522965209647,0.998543678249286,"ind",5
